time,temp,dwpt,rhum,prcp,wdir,wspd,pres
2018-01-01 00:00:00,12.5,11.6,94,,130,5.4,1034.3
2018-01-01 01:00:00,12,11.1,94,,140,5.4,1034
2018-01-01 02:00:00,12,11.1,94,,140,5.4,1033
2018-01-01 03:00:00,11.8,10.9,94,,150,7.6,1033.8
2018-01-01 04:00:00,12,11.1,94,,150,7.6,1032
2018-01-01 05:00:00,11,11,100,,140,5.4,1032
2018-01-01 06:00:00,10.6,9.7,94,,130,1.8,1032.6
2018-01-01 07:00:00,10,9.1,94,,,3.6,1032
2018-01-01 08:00:00,10,9.1,94,,140,5.4,1032
2018-01-01 09:00:00,11.5,10.6,94,,50,5.4,1033.6
2018-01-01 10:00:00,13,11.1,88,,30,13,1034
2018-01-01 11:00:00,14,12,88,,50,22.3,1035
2018-01-01 12:00:00,14.6,11.9,84,,40,18.4,1034.5
2018-01-01 13:00:00,16,12,77,,50,14.8,1033
2018-01-01 14:00:00,17,11.1,68,,60,11.2,1032
2018-01-01 15:00:00,17.6,10.7,64,,40,16.6,1032.5
2018-01-01 16:00:00,17,9.9,63,,50,16.6,1032
2018-01-01 17:00:00,16,11,72,,20,13,1032
2018-01-01 18:00:00,12.6,10,84,,40,9.4,1032.9
2018-01-01 19:00:00,12,9,82,,10,3.6,1033
2018-01-01 20:00:00,9,7.9,93,,60,1.8,1034
2018-01-01 21:00:00,8.7,7.5,92,,80,3.6,1034.7
2018-01-01 22:00:00,9,7.9,93,,120,5.4,1034
2018-01-01 23:00:00,9,7.9,93,,340,3.6,1034
2018-01-02 00:00:00,8.7,7.6,93,,130,5.4,1034.9
2018-01-02 01:00:00,9,7.9,93,,140,5.4,1033
2018-01-02 02:00:00,8,6.9,93,,150,5.4,1033
2018-01-02 03:00:00,5.6,4.2,91,,340,0,1033.8
2018-01-02 04:00:00,7,5.9,93,,120,5.4,1033
2018-01-02 05:00:00,5,4,93,,340,0,1033
2018-01-02 06:00:00,6.8,5.4,91,,130,7.6,1033.5
2018-01-02 07:00:00,7,5.9,93,,140,5.4,1033
2018-01-02 08:00:00,6,5,93,,340,0,1034
2018-01-02 09:00:00,7.7,6.8,94,,340,0,1035.2
2018-01-02 10:00:00,13,10,82,,80,5.4,1035
2018-01-02 11:00:00,15,11,77,,50,11.2,1035
2018-01-02 12:00:00,17,9.7,62,,30,14.8,1034.6
2018-01-02 13:00:00,18,8,52,,30,16.6,1033
2018-01-02 14:00:00,19,7.1,46,,20,13,1032
2018-01-02 15:00:00,18.7,6.5,45,,20,14.8,1032.5
2018-01-02 16:00:00,17,11.1,68,,10,16.6,1033
2018-01-02 17:00:00,15,11,77,,10,9.4,1033
2018-01-02 18:00:00,12.5,10.4,87,,20,5.4,1033.7
2018-01-02 19:00:00,11,10.1,94,,60,1.8,1034
2018-01-02 20:00:00,9,7.9,93,,,3.6,1034
2018-01-02 21:00:00,9.6,8.5,93,,110,3.6,1034.6
2018-01-02 22:00:00,10,9.1,94,,30,3.6,1034
2018-01-02 23:00:00,10,9.1,94,,140,5.4,1034
2018-01-03 00:00:00,9.4,8.3,93,,140,5.4,1034.1
2018-01-03 01:00:00,9,7.9,93,,140,5.4,1033
2018-01-03 02:00:00,9,7.9,93,,140,5.4,
2018-01-03 03:00:00,9.6,8.5,93,,140,5.4,1033.6
2018-01-03 04:00:00,10,9.1,94,,140,5.4,1033
2018-01-03 05:00:00,10,9.1,94,,150,7.6,1033
2018-01-03 06:00:00,10.6,9.2,91,,150,5.4,1033.2
2018-01-03 07:00:00,10,9.1,94,,330,3.6,1033
2018-01-03 08:00:00,10,9.1,94,,140,5.4,1033
2018-01-03 09:00:00,12.2,10.4,89,,140,3.6,1034.3
2018-01-03 10:00:00,16,12,77,,250,0,1034
2018-01-03 11:00:00,16,12,77,,30,13,1035
2018-01-03 12:00:00,15.4,11.4,77,,40,13,1034.5
2018-01-03 13:00:00,17,11.9,72,,40,7.6,1033
2018-01-03 14:00:00,17,11.9,72,,340,11.2,1032
2018-01-03 15:00:00,16.6,11.5,72,,360,16.6,1032
2018-01-03 16:00:00,16,12,77,,350,14.8,1032
2018-01-03 17:00:00,15,12,82,,290,13,1032
2018-01-03 18:00:00,14.8,11.8,82,,30,9.4,1032.2
2018-01-03 19:00:00,15,12,82,,30,9.4,1032
2018-01-03 20:00:00,15,12,82,,30,5.4,1032
2018-01-03 21:00:00,14.6,11.7,83,,40,7.6,1032.8
2018-01-03 22:00:00,15,12,82,,340,3.6,1032
2018-01-03 23:00:00,15,12,82,,,3.6,1032
2018-01-04 00:00:00,14.5,11.6,83,,20,3.6,1032.3
2018-01-04 01:00:00,14,12,88,,,0,1031
2018-01-04 02:00:00,14,12,88,,190,0,1031
2018-01-04 03:00:00,14.3,12,86,,200,0,1031.4
2018-01-04 04:00:00,14,12,88,,210,0,1031
2018-01-04 05:00:00,14,12,88,,190,1.8,1031
2018-01-04 06:00:00,14.1,11.8,86,,70,1.8,1031.3
2018-01-04 07:00:00,14,12,88,,190,3.6,1031
2018-01-04 08:00:00,14,12,88,,200,1.8,1031
2018-01-04 09:00:00,14,11.5,85,,120,3.6,1032
2018-01-04 10:00:00,14,12,88,,,5.4,1032
2018-01-04 11:00:00,15,11,77,,140,5.4,1032
2018-01-04 12:00:00,15.1,11.1,77,,80,5.4,1031.3
2018-01-04 13:00:00,15,11,77,,80,5.4,1030
2018-01-04 14:00:00,16,11,72,,290,1.8,1029
2018-01-04 15:00:00,15.6,10.8,73,,30,11.2,1028.8
2018-01-04 16:00:00,16,11,72,,40,11.2,1028
2018-01-04 17:00:00,15,11,77,,50,7.6,1028
2018-01-04 18:00:00,14.4,10.2,76,,40,7.6,1028.6
2018-01-04 19:00:00,14,10,77,,260,1.8,1028
2018-01-04 20:00:00,13,10,82,,230,3.6,1028
2018-01-04 21:00:00,11,9.1,88,,140,3.6,1028.5
2018-01-04 22:00:00,9,7.9,93,,180,0,1028
2018-01-04 23:00:00,9,7,87,,170,1.8,1028
2018-01-05 00:00:00,9,7.9,93,,150,3.6,1027.5
2018-01-05 01:00:00,9,7.9,93,,140,5.4,1026
2018-01-05 02:00:00,9,7.9,93,,140,5.4,1025
2018-01-05 03:00:00,9.2,8.1,93,,140,3.6,1024.7
2018-01-05 04:00:00,8,6.9,93,,170,0,1024
2018-01-05 05:00:00,8,6.9,93,,140,5.4,1023
2018-01-05 06:00:00,7.3,6.4,94,,150,5.4,1023.5
2018-01-05 07:00:00,8,6.9,93,,160,5.4,1023
2018-01-05 08:00:00,9,7.9,93,,210,3.6,1023
2018-01-05 09:00:00,9,8.1,94,,140,3.6,1023.3
2018-01-05 10:00:00,9,9,100,,240,3.6,1023
2018-01-05 11:00:00,11,10.1,94,,170,5.4,1022
2018-01-05 12:00:00,13.3,12.2,93,,160,9.4,1020.1
2018-01-05 13:00:00,17,9.9,63,,200,7.6,1018
2018-01-05 14:00:00,17,9.9,63,,260,9.4,1016
2018-01-05 15:00:00,15.6,10.4,71,,310,18.4,1016.6
2018-01-05 16:00:00,15,10,72,,280,13,1016
2018-01-05 17:00:00,15,10,72,,250,14.8,1015
2018-01-05 18:00:00,13.9,9.9,77,,260,14.8,1015.2
2018-01-05 19:00:00,15,10,72,,250,20.5,1014
